ID;CURRENTSTATE;NEXT_STATE;IS_END_STATE;SUCCESS;ACTION_AGENT;ACTION_PLACE;OBSERVATION_BOOTSTRAP;OBSERVATION_REFLECTION_CONTEXT;OBSERVATION_ESCAPE_CONTEXT;OBSERVATION_NEW_CONTEXT;OBSERVATION_POSTCONTEXT;OBSERVATION_PRE_EXPLOIT;OBSERVATION_FILTERING;OBSERVATION_CODE_EXECUTED
0;Bootstrap;ReflectionContext;0;0;no_agent;no_place;no_available_observation;;;;;;;
1;ReflectionContext;EscapeCurrentContext_01;0;0;simple_html;ExploitCode;;simple_html;no_escape;;;;;
2;EscapeCurrentContext_01;InjectNewContext_01;0;0;simple_html;PreContext;;simple_html;;script_tag_opening;;;;
3;InjectNewContext_01;FixNewContext_01;0;0;simple_html;Context;;simple_html;;;script_tag_closure;;;
4;FixNewContext_01;FixExploitCode_01;0;0;simple_html;PostContext;;simple_html;;;;no_pre_exploit;;
5;FixExploitCode_01;FilteringCountermeasures_01;0;0;simple_html;PreExploit;;script_tag;;;;;no_filtering;
6;FilteringCountermeasures_01;FinalState_01;1;1;no_agent;no_place;;script_tag;;;;;;alert_popped
7;Bootstrap;ReflectionContext;0;0;no_agent;no_place;no_available_observation;;;;;;;
8;ReflectionContext;EscapeCurrentContext_02;0;0;html_tag;ExploitCode;;html_tag;escape_tag;;;;;
9;EscapeCurrentContext_02;InjectNewContext_02;0;0;html_tag;PreContext;;simple_html;;script_tag_opening;;;;
10;InjectNewContext_02;FixNewContext_02;0;0;html_tag;Context;;simple_html;;;script_tag_closure;;;
11;FixNewContext_02;FixExploitCode_02;0;0;html_tag;PostContext;;simple_html;;;;no_pre_exploit;;
12;FixExploitCode_02;FilteringCountermeasures_02;0;0;html_tag;PreExploit;;script_tag;;;;;no_filtering;
13;FilteringCountermeasures_02;FinalState_02;1;1;no_agent;no_place;;script_tag;;;;;;alert_popped
14;Bootstrap;ReflectionContext;0;0;no_agent;no_place;no_available_observation;;;;;;;
15;ReflectionContext;EscapeCurrentContext_03;0;0;html_comment;ExploitCode;;html_comment;escape_html_comment;;;;;
16;EscapeCurrentContext_03;InjectNewContext_03;0;0;html_comment;PreContext;;simple_html;;script_tag_opening;;;;
17;InjectNewContext_03;FixNewContext_03;0;0;html_comment;Context;;simple_html;;;script_tag_closure;;;
18;FixNewContext_03;FixExploitCode_03;0;0;html_comment;PostContext;;simple_html;;;;no_pre_exploit;;
19;FixExploitCode_03;FilteringCountermeasures_03;0;0;html_comment;PreExploit;;script_tag;;;;;no_filtering;
20;FilteringCountermeasures_03;FinalState_03;1;1;no_agent;no_place;;script_tag;;;;;;alert_popped
21;Bootstrap;ReflectionContext;0;0;no_agent;no_place;no_available_observation;;;;;;;
22;ReflectionContext;EscapeCurrentContext_04;0;0;urlattribute;ExploitCode;;url_attribute;no_escape;;;;;
23;EscapeCurrentContext_04;InjectNewContext_04;0;0;urlattribute;PreContext;;url_attribute;;javascript_context;;;;
24;InjectNewContext_04;FixNewContext_04;0;0;urlattribute;Context;;url_attribute;;;no_postcontext;;;
25;FixNewContext_04;FixExploitCode_04;0;0;urlattribute;PostContext;;url_attribute;;;;no_pre_exploit;;
27;FixExploitCode_04;FilteringCountermeasures_04;0;0;urlattribute;PreExploit;;url_attribute;;;;;no_filtering;
28;FilteringCountermeasures_04;FinalState_04;1;1;no_agent;no_place;;url_attribute;;;;;;alert_popped
29;Bootstrap;ReflectionContext;0;0;no_agent;no_place;no_available_observation;;;;;;;
30;ReflectionContext;EscapeCurrentContext_05;0;0;attribute;ExploitCode;;attribute;double_quote_escape;;;;;
31;EscapeCurrentContext_05;InjectNewContext_05;0;0;attribute;PreContext;;attribute;;javascript_event_context;;;;
32;InjectNewContext_05;FixNewContext_05;0;0;attribute;Context;;javascript_event;;;no_postcontext;;;
33;FixNewContext_05;FixExploitCode_05;0;0;attribute;PostContext;;javascript_event;;;;double_quote_fix;;
34;FixExploitCode_05;FilteringCountermeasures_05;0;0;attribute;PreExploit;;javascript_event;;;;;no_filtering;
35;FilteringCountermeasures_05;FinalState_05;1;1;no_agent;no_place;;javascript_event;;;;;;alert_popped
36;Bootstrap;ReflectionContext;0;0;no_agent;no_place;no_available_observation;;;;;;;
37;ReflectionContext;EscapeCurrentContext_05;0;0;attribute;ExploitCode;;attribute;double_quote_escape;;;;;
38;EscapeCurrentContext_05;FilteringCountermeasures_06;0;0;attribute;PreContext;;attribute;single_quote_escape;;;;double_quote_filtered;
39;FilteringCountermeasures_06;InjectNewContext_06;0;0;attribute_filtering;PreContext;;attribute;;javascript_event_context;;;;
40;InjectNewContext_06;FixNewContext_06;0;0;attribute_filtering;Context;;javascript_event;;;no_postcontext;;;
41;FixNewContext_06;FixExploitCode_06;0;0;attribute_filtering;PostContext;;javascript_event;;;;single_quote_fix;;
42;FixExploitCode_06;FinalState_06;1;1;attribute_filtering;PreExploit;;javascript_event;;;;;;alert_popped
43;Bootstrap;ReflectionContext;0;0;no_agent;no_place;no_available_observation;;;;;;;
44;ReflectionContext;EscapeCurrentContext_07;0;0;code_singlequote;ExploitCode;;javascript_variable;singlequote_semicolon_escape;;;;;
45;EscapeCurrentContext_07;InjectNewContext_07;0;0;code_singlequote;PreContext;;javascript_event;;no_context;;;;
46;InjectNewContext_07;FixNewContext_07;0;0;code_singlequote;Context;;javascript_event;;;javascript_comment;;;
47;FixNewContext_07;FixExploitCode_07;0;0;code_singlequote;PostContext;;javascript_event;;;;no_pre_exploit;;
48;FixExploitCode_07;FilteringCountermeasures_07;0;0;code_singlequote;PreExploit;;javascript_event;;;;;no_filtering;
49;FilteringCountermeasures_07;FinalState_07;1;1;no_agent;no_place;;javascript_event;;;;;;alert_popped
50;Bootstrap;ReflectionContext;0;0;no_agent;no_place;no_available_observation;;;;;;;
51;ReflectionContext;EscapeCurrentContext_08;0;0;code_doublequote;ExploitCode;;javascript_variable;doublequote_semicolon_escape;;;;;
52;EscapeCurrentContext_08;InjectNewContext_08;0;0;code_doublequote;PreContext;;javascript_event;;no_context;;;;
53;InjectNewContext_08;FixNewContext_08;0;0;code_doublequote;Context;;javascript_event;;;javascript_comment;;;
54;FixNewContext_08;FixExploitCode_08;0;0;code_doublequote;PostContext;;javascript_event;;;;no_pre_exploit;;
55;FixExploitCode_08;FilteringCountermeasures_08;0;0;code_doublequote;PreExploit;;javascript_event;;;;;no_filtering;
56;FilteringCountermeasures_08;FinalState_08;1;1;no_agent;no_place;;javascript_event;;;;;;alert_popped
57;Bootstrap;ReflectionContext;0;0;no_agent;no_place;no_available_observation;;;;;;;
58;ReflectionContext;EscapeCurrentContext_09;0;0;code;ExploitCode;;javascript_variable;semicolon_escape;;;;;
59;EscapeCurrentContext_09;InjectNewContext_09;0;0;code;PreContext;;javascript_event;;no_context;;;;
60;InjectNewContext_09;FixNewContext_09;0;0;code;Context;;javascript_event;;;javascript_comment;;;
61;FixNewContext_09;FixExploitCode_09;0;0;code;PostContext;;javascript_event;;;;no_pre_exploit;;
62;FixExploitCode_09;FilteringCountermeasures_09;0;0;code;PreExploit;;javascript_event;;;;;no_filtering;
63;FilteringCountermeasures_09;FinalState_09;1;1;no_agent;no_place;;javascript_event;;;;;;alert_popped
64;Bootstrap;ReflectionContext;0;0;no_agent;no_place;no_available_observation;;;;;;;
65;ReflectionContext;EscapeCurrentContext_10;0;0;code_comment;ExploitCode;;javascript_single_line_comment;no_escape;;;;;
66;EscapeCurrentContext_10;InjectNewContext_10;0;0;code_comment;PreContext;;javascript_code;;no_context;;;;
67;InjectNewContext_10;FixNewContext_10;0;0;code_comment;Context;;javascript_code;;;no_postcontext;;;
68;FixNewContext_10;FixExploitCode_10;0;0;code_comment;PostContext;;javascript_code;;;;line_feed_carriage_return;;
69;FixExploitCode_10;FilteringCountermeasures_10;0;0;code_comment;PreExploit;;javascript_code;;;;;no_filtering;
70;FilteringCountermeasures_10;FinalState_10;1;1;no_agent;no_place;;javascript_code;;;;;;alert_popped
71;Bootstrap;ReflectionContext;0;0;no_agent;no_place;no_available_observation;;;;;;;
72;ReflectionContext;EscapeCurrentContext_11;0;0;code_mlcomment;ExploitCode;;javascript_multiple_line_comment;multiline_javascript_comment_escape;;;;;
73;EscapeCurrentContext_11;InjectNewContext_11;0;0;code_mlcomment;PreContext;;javascript_code;;no_context;;;;
74;InjectNewContext_11;FixNewContext_11;0;0;code_mlcomment;Context;;javascript_code;;;javascript_multiline_comment;;;
75;FixNewContext_11;FixExploitCode_11;0;0;code_mlcomment;PostContext;;javascript_code;;;;line_feed_carriage_return;;
76;FixExploitCode_11;FilteringCountermeasures_11;0;0;code_mlcomment;PreExploit;;javascript_code;;;;;no_filtering;
77;FilteringCountermeasures_11;FinalState_11;1;1;no_agent;no_place;;javascript_code;;;;;;alert_popped
