STATE/ACTION,"{'place': 'PreContext', 'substring': ''}","{'place': 'PreContext', 'substring': '"">'}","{'place': 'PreContext', 'substring': '</textarea>'}","{'place': 'PreContext', 'substring': '-->'}","{'place': 'PreContext', 'substring': '""'}","{'place': 'PreContext', 'substring': ""'""}","{'place': 'PreContext', 'substring': ""';""}","{'place': 'PreContext', 'substring': '"";'}","{'place': 'PreContext', 'substring': ';'}","{'place': 'PreContext', 'substring': '*/'}","{'place': 'Context', 'substring': ''}","{'place': 'Context', 'substring': '<script>'}","{'place': 'Context', 'substring': 'javascript:'}","{'place': 'Context', 'substring': 'onerror='}","{'place': 'ExploitCode', 'substring': ''}","{'place': 'ExploitCode', 'substring': 'alert(1);'}","{'place': 'PreExploit', 'substring': ''}","{'place': 'PreExploit', 'substring': '""'}","{'place': 'PreExploit', 'substring': ""'""}","{'place': 'PreExploit', 'substring': '%0A%0D'}","{'place': 'PostContext', 'substring': ''}","{'place': 'PostContext', 'substring': '</script>'}","{'place': 'PostContext', 'substring': '//'}","{'place': 'PostContext', 'substring': '/*'}"
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ''}",-6.316806485216525147e+01,-5.430531708390589785e+01,-4.622917319553535975e+01,-3.863184273260802115e+01,1.952589666057837192e+01,-5.206327019023852642e+01,-4.856765152290343934e+01,-5.035939654760388606e+01,-2.430524403161528824e+01,-5.039242655417611161e+01,-4.617441545332818720e+01,-5.309669163347828658e+01,-4.387298369053953451e+01,1.468861935828351406e+01,-6.155762338100288389e+01,1.987097385629434498e+01,-4.566088466472264429e+01,1.787088626898916743e+01,-5.070312741696504588e+01,-3.867526170054949120e+01,1.379414771358379355e+01,-8.077412607024682245e+01,-7.251047523550781193e+01,-6.361561701161111415e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': '""'}",-2.248613720640377522e+01,-4.831798115478598277e+01,-2.938629359668720653e+01,-2.761899216898947884e+01,1.372327748811545156e+01,-2.479187812573139738e+01,-3.705926146816825906e+01,-2.418573034439623370e+01,-2.894847279794385386e+01,-1.969433392292283358e+01,-1.476554048194439872e+01,-2.649598492135818262e+01,-3.186654687048552148e+01,1.335613682327076823e+01,-2.068273241115202410e+01,9.468953061086256895e+00,-7.177902716721378340e+01,2.041266910427794556e+01,-5.323694638182352179e+01,-5.419886855362497613e+01,1.471638119611736606e+01,-6.013880517467427467e+01,-5.378044520447078014e+01,-7.460930737269717383e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ""'""}",-4.108984364712662796e+01,-4.491035905031765196e+01,-4.991612459085953901e+01,-4.715553149630920871e+01,2.040123785146640856e+01,-4.889708438249865452e+01,-3.338035769826114318e+01,-5.798063488462404536e+01,-3.650638357785626908e+01,-3.801741107247354279e+01,-4.034857034822166355e+01,-3.843919248109234843e+01,-3.697695008506559589e+01,1.451573594416866086e+01,-4.792592276618466229e+01,1.400188335538829776e+01,-3.454937019052836433e+01,1.944174568570532102e+01,-4.231134849392319097e+01,-3.799539057615064053e+01,1.647874627102224565e+01,-8.032341339258756818e+01,-5.559732706508665956e+01,-6.602464171230629120e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': '%0A%0D'}",-5.917532007558251905e+01,-5.679674075477631590e+01,-5.408781823202183858e+01,-5.458313172836049887e+01,1.825007076374089010e+01,-5.589486949320610876e+01,-3.272041768364537262e+01,-4.197048888980603465e+01,-4.083237241756550162e+01,-4.660340521493250066e+01,-4.454958999155660848e+01,-4.506444022118572690e+01,-3.974418120338399518e+01,1.852919003393544983e+01,-4.983657006166793479e+01,1.748579260264434510e+01,-5.491599320339093993e+01,1.770135633930993890e+01,-3.663514731357867760e+01,-6.212708353962226226e+01,1.780942434630395965e+01,-7.316333511735192019e+01,-8.427154075783393239e+01,-7.188453891126259521e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': ''}",-5.562229304001766650e+01,-5.601701985347465751e+01,-5.740994746344716049e+01,-6.284164268533174891e+01,1.531024146681138731e+01,-5.555139035055006502e+01,-5.692058424362326008e+01,-4.314367024053685640e+01,-6.231552616089673080e+01,-6.352720792357474267e+01,-6.030323101275040187e+01,-6.561055382541454151e+01,-6.201047515280630051e+01,1.036129133116150314e+01,-5.457840625202089058e+01,1.934819844558961677e+01,-4.752453294985849652e+01,1.998277608554431595e+01,-6.511942921755336044e+01,-6.909561998630087487e+01,1.700135534044862595e+01,-7.145992735213999936e+01,-5.773596003915184838e+01,-4.157555094833032427e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': '""'}",-4.990002159990019948e+01,-3.317507026047228891e+01,-3.233313666344388793e+01,-4.771625058279370535e+01,1.501462674780012208e+01,-5.720734900901416609e+01,-3.833382515676254343e+01,-3.981764448595806982e+01,-4.991414582569211689e+01,-4.519276542312731237e+01,-1.941528041025568641e+01,-4.665290265391312374e+01,-5.474028625763411782e+01,1.973179024589202157e+01,-3.891902316514852345e+01,1.267538414836048233e+01,-7.101556652551127513e+01,1.795298188877652734e+01,-7.038850011614766800e+01,-7.268996699663144057e+01,2.242215237876776612e+01,-3.120060827165717754e+01,-4.991517465840723844e+01,-4.123015240022098737e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': ""'""}",-5.477802684170582381e+01,-4.469483669605136100e+01,-6.142020793938770851e+01,-7.206676595554870346e+01,1.569091447447461718e+01,-4.439899350463289096e+01,-6.110229512586332845e+01,-6.684239923130247973e+01,-5.462856889501745172e+01,-6.630762903428104948e+01,-6.530053251091447919e+01,-5.635845219411896068e+01,-6.630219013600697053e+01,1.775597280149131052e+01,-5.652784413138668640e+01,1.333789586434702024e+01,-5.756770529948360604e+01,1.640840558936841020e+01,-6.932149497371210600e+01,-6.177355585880796696e+01,1.680264406994668747e+01,-7.159039964646173360e+01,-5.642366718862236041e+01,-5.826194930710157394e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': '%0A%0D'}",-4.978130884580123450e+01,-4.847330070451936024e+01,-5.681825651698279955e+01,-5.948927554943907836e+01,1.624187078809640639e+01,-5.449303242394532987e+01,-6.180781087365460991e+01,-5.332152980538437248e+01,-5.773990976423591093e+01,-5.348938714915679071e+01,-6.536806631878006613e+01,-6.716191256459329395e+01,-5.243271413142593929e+01,7.988861564543291216e+00,-4.219546093187683766e+01,1.024248687481744113e+01,-5.858417997632268737e+01,1.655844693435943782e+01,-5.989872513076829819e+01,-5.360055272887930755e+01,2.047378550905582628e+01,-5.617449298762061005e+01,-5.478629933505408189e+01,-6.444173595941748545e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': ''}",-7.244091774840698861e+01,-6.777058066586849350e+01,-5.020626476233775293e+01,-5.848832444495815253e+01,1.709490316181961589e+01,-4.735639648488050568e+01,-6.437380286328436796e+01,-5.380440008133412988e+01,-5.136223702347667341e+01,-5.364017668497547930e+01,-6.081430669808343481e+01,-5.547820191972428461e+01,-6.895171181803037541e+01,1.412131669148003965e+01,-6.915669031477737860e+01,1.164517514284920452e+01,-5.973885212545175705e+01,1.708951946707441394e+01,-5.887205833608339134e+01,-5.676315163813755049e+01,1.747718411138281169e+01,-6.441933300010616392e+01,-5.664931807874393854e+01,-5.603578627326803030e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': '""'}",-3.485969475115390992e+01,-3.390082599129642205e+01,-5.074856379495298597e+01,-3.954215938113912188e+01,1.548313336242673621e+01,-4.573029777282542341e+01,-4.832183925240080669e+01,-5.470487485771255365e+01,-5.686699482331104605e+01,-4.618508591257170082e+01,-5.761548793216350361e+01,-4.245472357072105751e+01,-3.956163979344853487e+01,1.766847217310011331e+01,-4.582323961796259937e+01,1.555228117890594497e+01,-6.819047503703995972e+01,1.436282155482740386e+01,-8.068694131327404762e+01,-6.964194528279850260e+01,1.919399118764170709e+01,-3.092248018694090206e+01,-3.745169941231644373e+01,-6.105210360467676622e+01
