STATE/ACTION,"{'place': 'PreContext', 'substring': ''}","{'place': 'PreContext', 'substring': '"">'}","{'place': 'PreContext', 'substring': '</textarea>'}","{'place': 'PreContext', 'substring': '-->'}","{'place': 'PreContext', 'substring': '""'}","{'place': 'PreContext', 'substring': ""'""}","{'place': 'PreContext', 'substring': ""';""}","{'place': 'PreContext', 'substring': '"";'}","{'place': 'PreContext', 'substring': ';'}","{'place': 'PreContext', 'substring': '*/'}","{'place': 'Context', 'substring': ''}","{'place': 'Context', 'substring': '<script>'}","{'place': 'Context', 'substring': 'javascript:'}","{'place': 'Context', 'substring': 'onerror='}","{'place': 'ExploitCode', 'substring': ''}","{'place': 'ExploitCode', 'substring': 'alert(1);'}","{'place': 'PreExploit', 'substring': ''}","{'place': 'PreExploit', 'substring': '""'}","{'place': 'PreExploit', 'substring': ""'""}","{'place': 'PreExploit', 'substring': '%0A%0D'}","{'place': 'PostContext', 'substring': ''}","{'place': 'PostContext', 'substring': '</script>'}","{'place': 'PostContext', 'substring': '//'}","{'place': 'PostContext', 'substring': '/*'}"
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ''}",-4.228416836402890056e+01,-4.012083773550751431e+01,-4.306782099238253636e+01,-3.770042655536915532e+01,-4.315582236057620946e+01,-3.483054995936272036e+01,-3.913251706253208795e+01,-3.902147784033708433e+01,8.547156522312262439e+01,-3.217597904689392863e+01,7.636939156074809887e+01,-6.322294737938870668e+01,-6.274382354381229021e+01,-5.319997507187214580e+01,-4.572540842507597603e+01,7.613486606948289648e+01,7.567462986418959758e+01,-5.948210008454911701e+01,-5.192077162291732861e+01,-5.999885974562914015e+01,-3.549343150343821662e+01,-4.088344721211976918e+01,7.494690834703965265e+01,-3.940588903919520192e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': '""'}",-4.217617468080709386e+01,-4.523152317998257388e+01,-3.870895300578970222e+01,-4.169123231442772237e+01,-3.746496336545270367e+01,-4.267089805865320784e+01,-4.013804573286545008e+01,-4.701202443245836804e+01,6.792814255244199728e+01,-3.929948659329242133e+01,6.675038199938683192e+01,-6.659599819827275269e+01,-6.338448924603791568e+01,-6.602067506266804742e+01,-3.860465284080279247e+01,7.711136951564753872e+01,7.695663057320231815e+01,-4.220970567960397091e+01,-3.406434828857451436e+01,-4.143834533550497667e+01,-4.183897761483582656e+01,-3.965364190809039258e+01,7.221588870221940226e+01,-4.258278408778045332e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ""'""}",-3.977840732103821608e+01,-4.014492099193896024e+01,-4.321837973076670636e+01,-4.296859028991519125e+01,-4.038043190183487496e+01,-3.781120071704817320e+01,-3.736424133573917317e+01,-3.994023255238530368e+01,7.698470926553854099e+01,-4.018122935571092569e+01,7.730514361224314257e+01,-5.845188513946087738e+01,-7.154555314592478510e+01,-5.855930260988424152e+01,-3.447013808492653197e+01,7.503878000448999330e+01,6.849434949493961255e+01,-3.694696899184420147e+01,-4.150465182213223159e+01,-4.527298852699038179e+01,-3.202214194836405881e+01,-3.834208871686963960e+01,8.363951570472293895e+01,-4.286471148081390226e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': '%0A%0D'}",-4.198587185584764114e+01,-4.287023367957183950e+01,-4.360311518658409824e+01,-4.275110964797907798e+01,-4.226266847893121792e+01,-3.831697755712166042e+01,-3.791274350160654905e+01,-4.626593569879435819e+01,7.201914290295091803e+01,-3.910921741586743394e+01,6.892657263288798219e+01,-6.929326687813760088e+01,-6.175731610487828505e+01,-6.208046956887148582e+01,-4.698153436553598539e+01,7.420248225322674784e+01,7.420574257939742324e+01,-4.095047728781587892e+01,-3.168677771813382904e+01,-4.118241131687748435e+01,-4.389877627239429358e+01,-3.804671729578552686e+01,6.917391887387042004e+01,-4.413191296932273389e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': ''}",-4.324124966166099426e+01,-3.716270452486327258e+01,-4.170337050747438212e+01,-4.003059908513665022e+01,-3.924816919849103414e+01,-4.700503192659687812e+01,-3.518854741598992319e+01,-3.845829006649699977e+01,7.303391777980115762e+01,-4.376085099537554157e+01,6.766544203871546870e+01,-6.070464052975671621e+01,-6.251532318937367450e+01,-5.663006500318327596e+01,-3.840620517782588905e+01,7.904305728012626275e+01,7.074361315657992577e+01,-6.044124765447267578e+01,-5.722083027358664253e+01,-6.241560671533287064e+01,-3.703111536674737891e+01,-4.005871545320613336e+01,7.001154539223362860e+01,-3.840997312547362696e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': '""'}",-4.029559433696804405e+01,-4.358644491999753257e+01,-4.465756587242884024e+01,-4.331680108078195701e+01,-4.022245112528293021e+01,-4.204717641050859811e+01,-3.871459067120566289e+01,-4.051548711760993626e+01,7.506558730747015318e+01,-4.694029790973364413e+01,7.470526348931026916e+01,-6.378031082058582513e+01,-6.424071669205711999e+01,-6.809821503550972466e+01,-4.029892375668722337e+01,7.455762796582529006e+01,7.542234149757064188e+01,-4.054429414785322194e+01,-4.298064692763575323e+01,-4.099662274491707592e+01,-4.130771815142048098e+01,-3.612965548834449692e+01,6.776752501533219686e+01,-3.906877258624336946e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': ""'""}",-4.176529551360285097e+01,-3.997959640703872708e+01,-3.883586507091020223e+01,-3.706581675309458745e+01,-4.576119790983676694e+01,-4.234549183187770893e+01,-4.009990711816693221e+01,-4.486316643478512134e+01,7.636116439793995880e+01,-3.408706469316110343e+01,7.641829259342753744e+01,-6.899563572567005565e+01,-6.199924625682697865e+01,-6.608116706673567364e+01,-4.028103525599668444e+01,7.278651866376128510e+01,7.586873095326689054e+01,-4.109102688412327353e+01,-3.971709593955895912e+01,-4.005304910665212503e+01,-3.683435381638781791e+01,-3.894535105925899643e+01,7.894008181180318218e+01,-4.095566879804151483e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': '%0A%0D'}",-3.842062548094726537e+01,-4.273818218652447598e+01,-4.296557810573597180e+01,-3.736796286469201789e+01,-4.625763548345369713e+01,-4.640841185226606314e+01,-3.821003183590777752e+01,-4.611713319948315615e+01,7.316809981764953363e+01,-4.542350977912290944e+01,6.708866971726929762e+01,-6.799485315822889220e+01,-5.967970037101116532e+01,-6.510716179131996739e+01,-3.894462171246959059e+01,7.673024641391603495e+01,6.721751379834682893e+01,-3.872250233840534861e+01,-3.916000075347015752e+01,-4.093162910155459855e+01,-4.391635403686530736e+01,-3.669851187527097380e+01,7.581582202253284208e+01,-4.127099973782865305e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': ''}",-4.712259862475406891e+01,-3.957060344792302686e+01,-3.643581307206148523e+01,-3.866687100109443520e+01,-3.962388939379930974e+01,-4.132808119198298868e+01,-3.765557272923319232e+01,-3.851473452574612111e+01,7.250990531474816692e+01,-3.467149395411611579e+01,7.171674620290163205e+01,-6.527310880300396434e+01,-6.282687555876093910e+01,-5.438286803840039596e+01,-4.255597691145192840e+01,7.722438349044398365e+01,7.525000944044612083e+01,-6.208734356429830825e+01,-5.518865016728737061e+01,-6.287878672174249317e+01,-5.352011504849969725e+01,-5.835693434541057911e+01,7.139408079620595515e+01,-5.274726955591410871e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': '""'}",-3.923703005852622994e+01,-4.018609298298857624e+01,-3.894121275208986077e+01,-4.188157020891377158e+01,-3.515229842478514399e+01,-4.037794219282461938e+01,-4.191114440225300797e+01,-4.074771244516535518e+01,7.772701804554075977e+01,-3.649380674778964107e+01,6.505768440159458521e+01,-6.022395792189117003e+01,-6.020468811102221451e+01,-5.796442132105706690e+01,-4.200382796647208750e+01,8.113837428612191616e+01,6.548961794627879840e+01,-4.526618511551764357e+01,-3.592813517286479197e+01,-4.331719381769699595e+01,-6.222373276837847555e+01,-6.245183610835665178e+01,6.862698215506124200e+01,-6.525914904821360096e+01
