STATE/ACTION,"{'place': 'PreContext', 'substring': ''}","{'place': 'PreContext', 'substring': '"">'}","{'place': 'PreContext', 'substring': '</textarea>'}","{'place': 'PreContext', 'substring': '-->'}","{'place': 'PreContext', 'substring': '""'}","{'place': 'PreContext', 'substring': ""'""}","{'place': 'PreContext', 'substring': ""';""}","{'place': 'PreContext', 'substring': '"";'}","{'place': 'PreContext', 'substring': ';'}","{'place': 'PreContext', 'substring': '*/'}","{'place': 'Context', 'substring': ''}","{'place': 'Context', 'substring': '<script>'}","{'place': 'Context', 'substring': 'javascript:'}","{'place': 'Context', 'substring': 'onerror='}","{'place': 'ExploitCode', 'substring': ''}","{'place': 'ExploitCode', 'substring': 'alert(1);'}","{'place': 'PreExploit', 'substring': ''}","{'place': 'PreExploit', 'substring': '""'}","{'place': 'PreExploit', 'substring': ""'""}","{'place': 'PreExploit', 'substring': '%0A%0D'}","{'place': 'PostContext', 'substring': ''}","{'place': 'PostContext', 'substring': '</script>'}","{'place': 'PostContext', 'substring': '//'}","{'place': 'PostContext', 'substring': '/*'}"
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ''}",7.075854166592138483e+01,-5.851399602782973375e+01,-5.803683205491799413e+01,-6.002092639447528200e+01,-5.612853877643075862e+01,-5.704068709995016917e+01,-5.355316294858037196e+01,-5.617819045863987526e+01,-5.678538255676891566e+01,-5.758821224512501402e+01,7.557481890290722504e+01,-5.691282819017436623e+01,-6.176945290481215523e+01,-6.111957929534893452e+01,-4.214661202519102545e+01,8.006661500665137510e+01,-3.765979250031101344e+01,-4.375482632287310025e+01,-4.115077366348973698e+01,7.555335906082871134e+01,7.220481614873280307e+01,-6.215845049521307430e+01,-5.816831668290229373e+01,-5.045225042027546181e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': '""'}",7.496493365280754517e+01,-5.746665020811495594e+01,-5.250458432252916197e+01,-5.683289510996200278e+01,-6.008598731299355933e+01,-6.094515473110358528e+01,-4.892123138012415495e+01,-5.530877693053214017e+01,-5.419460675382128301e+01,-4.976480420477378885e+01,7.542373574419420379e+01,-5.554055174315865884e+01,-5.454240161127973607e+01,-5.713929885145969934e+01,-4.214639859088327256e+01,8.022917618685934826e+01,-3.644390922995172133e+01,-3.853080092759224584e+01,-4.165302188713045695e+01,6.999834004507145835e+01,7.885794515937219273e+01,-5.995215023986143166e+01,-5.385730937313117295e+01,-5.024184807791468899e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ""'""}",7.194012763955487344e+01,-6.290599638149482331e+01,-6.085034545127510341e+01,-5.609048442043155802e+01,-5.810684994412554971e+01,-6.066441855397441429e+01,-5.099295554913400252e+01,-5.860072887202522907e+01,-5.397308495176406495e+01,-5.815704769673472185e+01,6.961436505357420401e+01,-6.009898508753057911e+01,-5.618844330923111841e+01,-6.269620453547194217e+01,-4.268355060460777395e+01,7.360471869739041040e+01,-3.785038859955398038e+01,-3.808121389864966488e+01,-4.091998786078104899e+01,7.570032552364466483e+01,6.976284504895093619e+01,-6.261048076718115141e+01,-6.042760894611250677e+01,-5.616886020466075990e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': '%0A%0D'}",7.371085736260735644e+01,-5.211078526857169635e+01,-5.951105518858900467e+01,-6.210069832914977894e+01,-6.201403190065728666e+01,-5.883857328285840538e+01,-5.270388453687876762e+01,-5.726833534738526055e+01,-5.404096921520689278e+01,-5.857606233486143310e+01,6.915454191903299375e+01,-5.698596038268142649e+01,-5.630585554550911098e+01,-6.210314646266731842e+01,-4.641639230354015666e+01,2.065412005556143171e+01,-5.775136566867156063e+01,-5.938901730596078465e+01,-6.043153186418317091e+01,7.850245904317135626e+01,6.970377290183250807e+01,-6.067871881801139722e+01,-5.199790237117264269e+01,-4.253690530459343933e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': ''}",7.227212379516998908e+01,-5.737368415380195330e+01,-5.869266296317880460e+01,-6.220825556557999647e+01,-5.928134005799132211e+01,-5.955352985322249282e+01,-5.787730196617410883e+01,-5.692557777976802669e+01,-6.267902767077723780e+01,-6.129698069125016247e+01,7.224081280431565233e+01,-5.881239547347413321e+01,-6.325877722994991359e+01,-6.379327416653229221e+01,-3.553229082836272568e+01,7.960063622640087999e+01,-3.940394328450300776e+01,-4.346987832785831785e+01,-4.240029553672140139e+01,7.441541856298452728e+01,7.392703031508909817e+01,-4.016505165927033261e+01,-3.496184923887840057e+01,-2.973729834278065809e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': '""'}",7.241751203165823370e+01,-6.224688493430029013e+01,-6.350243024876727560e+01,-6.185308462226960557e+01,-6.148775865893662740e+01,-5.874114960581937339e+01,-5.983351499890815717e+01,-5.916268658248172585e+01,-5.872909069721652031e+01,-6.352515699123365778e+01,7.305476149766823823e+01,-5.925322162927339775e+01,-5.869987560860322162e+01,-6.075028510786034985e+01,-3.975804388667088318e+01,7.820252630329584065e+01,-4.090186470948921738e+01,-4.000504468489841514e+01,-4.257189878730855526e+01,7.071645535993815201e+01,7.575315666620323896e+01,-4.042111211700886031e+01,-3.915208648966973470e+01,-3.463812739341737057e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': ""'""}",7.124885354795831915e+01,-6.417480105308156624e+01,-6.011807360855119953e+01,-6.560342624425116753e+01,-6.428419757477594487e+01,-6.431921895709045600e+01,-5.965072746227480138e+01,-6.355965864550883282e+01,-5.822083142170460945e+01,-5.974537269113900351e+01,6.678238064711403865e+01,-6.448397710757295442e+01,-6.386205123676662510e+01,-6.119391936475799554e+01,-4.114304709626446765e+01,7.690317748236911655e+01,-3.546795390169439344e+01,-4.006776458693328635e+01,-4.321850991789459329e+01,7.314125152025000887e+01,7.170537832070742468e+01,-4.449100617663517454e+01,-4.626930382879842085e+01,-4.290148959159536446e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': '%0A%0D'}",7.302326834233966224e+01,-5.737732053337574456e+01,-6.023978592612254346e+01,-5.175429329619034036e+01,-5.990473154571861869e+01,-6.166938392302362359e+01,-5.499935177767176242e+01,-5.690639032213601922e+01,-5.384101162922883788e+01,-5.873284527696944224e+01,7.609237591121988942e+01,-5.517058751717891596e+01,-5.891272297155965987e+01,-5.921406075702552130e+01,-3.532723384305288050e+01,7.398725552224145474e+01,-5.725098263237300245e+01,-5.941698970525265366e+01,-6.379684860837096494e+01,8.263957155867613835e+01,7.709673913305886117e+01,-4.496798106156439445e+01,-2.873830279412547384e+01,-3.343972234305714863e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': ''}",7.409863449861133233e+01,-6.022766421509946611e+01,-5.947664521165695817e+01,-5.671328469329203870e+01,-5.709277812244704364e+01,-5.915535256843435263e+01,-5.779422850379607013e+01,-6.165824176941010393e+01,-6.468066806317865769e+01,-5.858716670677986826e+01,7.277762702911812198e+01,-5.907065692336646379e+01,-5.897229030601652511e+01,-5.924816579661366234e+01,-3.645656372656782196e+01,7.857738190887127416e+01,-3.442875786740270172e+01,-3.787034706317127331e+01,-4.181004787101547038e+01,8.515301526244914498e+01,7.192362781806664884e+01,-3.716147413449067471e+01,-4.062516248524453744e+01,-2.892051194067465403e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': '""'}",7.764143372581082758e+01,-6.043213341275130546e+01,-5.608700658158909391e+01,-6.415127729374449927e+01,-5.863728594874268651e+01,-6.620137492516296618e+01,-5.557433503192962121e+01,-5.716370051761138171e+01,-5.844762212523138345e+01,-6.100789096243914855e+01,7.259594487944492869e+01,-6.081777672502431642e+01,-6.308320324153591230e+01,-5.771350190536708169e+01,-3.547944971981500117e+01,7.160060081086164985e+01,-3.619154168549145822e+01,-3.505884923213439919e+01,-3.668872399959716546e+01,8.536706714388283501e+01,8.036368521971542123e+01,-4.009929649330634760e+01,-3.456629826889272294e+01,-3.608415104101188575e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': ""'""}",7.802371770255200545e+01,-6.334735616720362117e+01,-5.529176151288744734e+01,-5.783908278784733881e+01,-6.094039411980826770e+01,-5.623561140047011264e+01,-6.133069606780104266e+01,-5.978166832961475308e+01,-5.972402474347003931e+01,-5.709079093449783215e+01,6.768559865247992491e+01,-5.531358392774551902e+01,-6.210814629906725770e+01,-5.807061759341359419e+01,-4.176956162872885869e+01,7.873068021850050968e+01,-3.163466242498465775e+01,-3.333610078420883127e+01,-4.153994995209939844e+01,7.501595164700059115e+01,7.411121487182280987e+01,-4.180907757426533777e+01,-4.245296861228761998e+01,-3.301365288193056813e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': '%0A%0D'}",8.336744935664077616e+01,-5.379822957318485521e+01,-5.126250450569686024e+01,-4.956494247152499355e+01,-5.176124230810002302e+01,-5.752520067991270736e+01,-5.009233884580559248e+01,-5.215495910083688358e+01,-5.572790576007339780e+01,-5.715054097553603185e+01,7.469555265550046386e+01,-5.502723593561262305e+01,-6.181745297053679877e+01,-5.689148314131139017e+01,-2.734771694151505628e+01,8.509952302029982718e+01,-5.488305084377200416e+01,-5.492097978076665044e+01,-5.671368556530475047e+01,8.820923393049501726e+01,7.721370595103546464e+01,-3.805998933083185420e+01,-2.902950453383635931e+01,-2.793309757511288538e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '/*', 'PreExploit': ''}",7.529872593913444234e+01,-6.104552092255144657e+01,-5.935560294257796699e+01,-6.117428651346002511e+01,-5.880079069367469913e+01,-5.894251167415258408e+01,-6.263968639113952008e+01,-6.039354353456518965e+01,-5.928168753833929827e+01,-5.402978874345577509e+01,7.317079115443456772e+01,-6.030463499550516815e+01,-6.202341858554269294e+01,-5.833805895501805594e+01,-3.790196750424649963e+01,8.758270568792615052e+01,-3.709498176396181890e+01,-3.179403632967546400e+01,-3.662352698591245570e+01,9.103306743653845956e+01,7.609368107472148779e+01,-3.520411772262034589e+01,-3.695225011919460911e+01,-3.502527442909395461e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '/*', 'PreExploit': '""'}",7.562131343852249188e+01,-6.601682789384889816e+01,-5.863256727501597965e+01,-6.527261007750433919e+01,-5.791305800185650554e+01,-5.866455709853423883e+01,-5.805488959160931017e+01,-6.056979954805375144e+01,-5.642007100680940113e+01,-6.509577628349128986e+01,7.206712139075391121e+01,-5.903604762483025326e+01,-5.645316660244154150e+01,-5.145341863716263475e+01,-3.221962388780502806e+01,7.781457525882424875e+01,-3.794088124463288381e+01,-3.151998201545573508e+01,-3.930675416153611224e+01,8.892451642437387704e+01,7.792970274525373497e+01,-3.806428030536874729e+01,-3.596113585439689331e+01,-3.590854949628801052e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '/*', 'PreExploit': ""'""}",7.088056649473051607e+01,-5.933263273364318025e+01,-6.157525097357308397e+01,-6.158718470702513059e+01,-6.217815847048251499e+01,-5.831599441103260517e+01,-5.986260070696829416e+01,-6.074336611526896945e+01,-6.510536420339107622e+01,-6.078846714776091886e+01,7.432337199726443089e+01,-5.545122669071480459e+01,-5.721404237846280694e+01,-5.775590974168748204e+01,-3.485672142156720099e+01,8.733229920987855621e+01,-3.199254390107913437e+01,-2.962863761861887824e+01,-3.265579857442448031e+01,8.096115097901517288e+01,6.751082863899375752e+01,-4.323307542283880167e+01,-4.265603959366145403e+01,-3.081234380941921813e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '/*', 'PreExploit': '%0A%0D'}",8.103937823998715828e+01,-5.533510213330460203e+01,-5.485276628499484275e+01,-5.437831299964243215e+01,-5.380936627329281663e+01,-5.892042132402593779e+01,-5.545901686943012265e+01,-5.482386293010662826e+01,-5.259962514913544140e+01,-5.253264728099638603e+01,8.451445528084633452e+01,-5.731403787257205096e+01,-4.803050638729753530e+01,-5.471029140122116274e+01,-2.884090640152867380e+01,9.402088148077487517e+01,-5.317037087803290518e+01,-4.926670651616471730e+01,-5.181140674288252512e+01,8.286780086815677748e+01,7.444591862018249628e+01,-3.973276223965342524e+01,-2.933535680385650579e+01,-2.494727734334770020e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '', 'PreExploit': ''}",8.166662754561309612e+01,-5.642569681352551214e+01,-5.715477798696325351e+01,-6.515508873298415438e+01,-5.724501236123073511e+01,-5.756724593716659655e+01,-5.990136534968118553e+01,-5.868658467316405591e+01,-5.382923472688362665e+01,-5.569391718326715335e+01,7.441136775548490334e+01,-5.999106412079989781e+01,-6.204552278833406831e+01,-5.750049236027584243e+01,-6.013705829847148721e+01,7.357633187305088995e+01,-3.935859853966611865e+01,-3.659714391434225433e+01,-3.758436637045975459e+01,2.014559382132954113e+01,7.795909402682197253e+01,-5.441116466022868536e+01,-5.456794746567754828e+01,-5.096202828183359657e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '', 'PreExploit': '""'}",8.149372491044765354e+01,-5.021969531655776819e+01,-5.577880057779148615e+01,-5.690934305544744376e+01,-5.622279178674214961e+01,-5.484944163487114110e+01,-5.620209728140494576e+01,-5.382925227072655616e+01,-5.529701499254080943e+01,-5.466809777794349401e+01,7.839376160481715772e+01,-5.821594964777067815e+01,-4.879482013957155573e+01,-5.995044784019768969e+01,-5.938284333122945213e+01,8.850500453265146916e+01,-3.647302817448940715e+01,-2.957632107623146567e+01,-3.875266695473454348e+01,2.063906828844196539e+01,7.659880796703131978e+01,-5.591114121644581303e+01,-5.839277444779809656e+01,-5.395545716632489075e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '', 'PreExploit': ""'""}",7.827796036959558990e+01,-5.624973692934846525e+01,-4.823920055021858388e+01,-5.816336507782852294e+01,-5.284553598268392705e+01,-5.035057125821401769e+01,-4.636330930477237189e+01,-5.723240371562978623e+01,-5.492747013953427881e+01,-5.957665277035409446e+01,7.579318034268023041e+01,-5.461821033543090209e+01,-5.697848405220543100e+01,-5.984714654148720570e+01,-5.895589938740661040e+01,7.374071559384066177e+01,-3.946461384639547987e+01,-3.592780751141962980e+01,-4.309699331612866047e+01,2.040572742472248891e+01,7.931380767866977521e+01,-6.286043356810264982e+01,-5.914472156861656060e+01,-4.925678245877929839e+01
