STATE/ACTION,"{'place': 'PreContext', 'substring': ''}","{'place': 'PreContext', 'substring': '"">'}","{'place': 'PreContext', 'substring': '</textarea>'}","{'place': 'PreContext', 'substring': '-->'}","{'place': 'PreContext', 'substring': '""'}","{'place': 'PreContext', 'substring': ""'""}","{'place': 'PreContext', 'substring': ""';""}","{'place': 'PreContext', 'substring': '"";'}","{'place': 'PreContext', 'substring': ';'}","{'place': 'PreContext', 'substring': '*/'}","{'place': 'Context', 'substring': ''}","{'place': 'Context', 'substring': '<script>'}","{'place': 'Context', 'substring': 'javascript:'}","{'place': 'Context', 'substring': 'onerror='}","{'place': 'ExploitCode', 'substring': ''}","{'place': 'ExploitCode', 'substring': 'alert(1);'}","{'place': 'PreExploit', 'substring': ''}","{'place': 'PreExploit', 'substring': '""'}","{'place': 'PreExploit', 'substring': ""'""}","{'place': 'PreExploit', 'substring': '%0A%0D'}","{'place': 'PostContext', 'substring': ''}","{'place': 'PostContext', 'substring': '</script>'}","{'place': 'PostContext', 'substring': '//'}","{'place': 'PostContext', 'substring': '/*'}"
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ''}",-3.433014187393320071e+01,-3.565005829384764269e+01,-2.943945592022485158e+01,-3.453217506547506588e+01,-3.309682237344847522e+01,-3.850158456016894348e+01,-3.562397375645339537e+01,8.013186323862663585e+01,-4.117397750564646230e+01,-3.720582879323121261e+01,7.835330181497496937e+01,-5.000552489325279026e+01,-5.449453085571808941e+01,-5.757859769812387185e+01,-3.209561207101155134e+01,7.314686646032808426e+01,7.193491409326169617e+01,-5.555118605080754435e+01,-5.810650549375566243e+01,-5.625947075977141765e+01,-3.344767029755645638e+01,-3.275529623405760304e+01,8.561584102444871291e+01,-3.272131456929857052e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': '""'}",-4.764192781920252173e+01,-4.086558428010287969e+01,-3.630772774645565448e+01,-3.663193699544254400e+01,-4.274573534441495326e+01,-4.231704067999353924e+01,-3.794441788113540071e+01,6.792352043522902250e+01,-4.080774667221258767e+01,-4.677459621679067681e+01,6.724895005946727622e+01,-6.529434874980186976e+01,-6.790891145693917963e+01,-6.651986613309163943e+01,-4.111145485830284230e+01,6.846555312806005134e+01,7.732024426168828768e+01,-4.215213882937328549e+01,-4.079963194148170658e+01,-3.661061527218991074e+01,-3.800159668944090896e+01,-4.163105730979859231e+01,7.237073395872540971e+01,-3.924469414483127139e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ""'""}",-3.826296834754516851e+01,-3.966751114771483344e+01,-3.834913853953777618e+01,-4.195049530737004773e+01,-3.955534716689687258e+01,-3.600830043383352574e+01,-4.294942509959913224e+01,7.162019032933038432e+01,-4.183164873756816604e+01,-3.880430376582982888e+01,7.123208605636851587e+01,-6.185296711336717834e+01,-6.373908647424236307e+01,-6.132368753464107414e+01,-4.070535634995213314e+01,7.473540747860211297e+01,8.167950589868898703e+01,-3.827130611541507932e+01,-4.088271134711322929e+01,-3.122616672015244532e+01,-3.637459916126812942e+01,-4.160511418933740657e+01,7.257860226777459900e+01,-3.915142200044391529e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': '%0A%0D'}",-3.985539435444134426e+01,-4.102164543617533354e+01,-3.735870731865648509e+01,-4.298033614593784790e+01,-4.040133906630145333e+01,-4.040088656612902440e+01,-4.240013816255929413e+01,7.373400076488745469e+01,-3.435703852474552633e+01,-3.892794329473643700e+01,7.297997735687262377e+01,-6.328242669321376468e+01,-6.590952567838890275e+01,-6.582176572415140470e+01,-4.076849097218381957e+01,6.785897972449788540e+01,8.449377658805008195e+01,-3.812781810314929487e+01,-3.783712014915040811e+01,-3.561606000413799933e+01,-3.416905510130871448e+01,-3.775173510591442039e+01,8.034476714903127004e+01,-3.942742740312100835e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': ''}",-3.466719999023467835e+01,-3.874033870605866525e+01,-3.700198294710645541e+01,-3.555373704071573115e+01,-3.181911918698912700e+01,-4.073477304770193541e+01,-2.825435615775085907e+01,7.825064042389411156e+01,-3.750141506306881922e+01,-3.400354240044460141e+01,7.977708292160730252e+01,-5.675444030415290797e+01,-5.385721701621669411e+01,-6.053703543286314215e+01,-3.209453007709240779e+01,8.030131470429178364e+01,7.289575390812889566e+01,-5.733661582997469708e+01,-6.043279317574037890e+01,-5.494936044574258460e+01,-3.683297504682630574e+01,-3.153773131140502173e+01,8.481704319316503415e+01,-3.499197669481212358e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': '""'}",-4.218727654386724879e+01,-3.466564810533427732e+01,-3.947833016079010804e+01,-4.326051410899615490e+01,-3.686305854223927270e+01,-4.339563617067966561e+01,-3.807004854743055233e+01,7.583982882131468273e+01,-3.713473581984980143e+01,-3.821433596408463984e+01,6.997516405200445888e+01,-6.203211525322655007e+01,-6.608243291874596537e+01,-6.376423994046088950e+01,-3.975276109600289232e+01,7.233596523964972391e+01,7.821800632236906381e+01,-4.324550423821393252e+01,-4.143112746528040446e+01,-4.090717155749440082e+01,-4.265210093305798011e+01,-3.442155031271565235e+01,7.251470231655942200e+01,-4.348727307135105491e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': ""'""}",-3.765774776053508788e+01,-4.152850904401933718e+01,-3.971022361397940159e+01,-3.929440531012904358e+01,-3.722097985489130423e+01,-3.861931116549288134e+01,-4.313803513388138811e+01,7.956489700273769472e+01,-4.026483688308657349e+01,-4.458507049090092522e+01,7.113497545844697356e+01,-6.218752335916082785e+01,-6.695896345719179976e+01,-6.617040812727636023e+01,-4.046014438396711199e+01,7.407308858864588785e+01,7.760442969608540409e+01,-3.859410627426225204e+01,-3.754876603789580969e+01,-4.080367864802246913e+01,-3.740168809910916536e+01,-4.430794747388660682e+01,7.432669323045369936e+01,-3.855439431855892707e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': '%0A%0D'}",-4.076183049129832625e+01,-4.354353872463462949e+01,-3.996681480047688950e+01,-4.797134605125818752e+01,-3.942427349452508878e+01,-3.857948098399999282e+01,-4.526657576148865303e+01,7.509367009283211303e+01,-3.916462667092646655e+01,-3.856276462444851916e+01,6.872464373127890269e+01,-6.164792235079120530e+01,-5.876320952028905964e+01,-6.140147972098587559e+01,-3.937002238026864376e+01,6.628161013993492645e+01,7.917657064765252528e+01,-3.800479665440840193e+01,-3.615119626263260244e+01,-3.851174393872451418e+01,-3.928545839278135787e+01,-3.933921445921118476e+01,7.507993683774317617e+01,-3.889341622198809034e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': ''}",-3.129501739319516318e+01,-2.884397553154987293e+01,-2.507096234425439718e+01,-3.790967761882182430e+01,-2.835079238661954903e+01,-3.852241078564005505e+01,-3.120982065613324963e+01,8.486677853909965563e+01,-3.234837940284909052e+01,-3.404721878675412228e+01,8.506965523157845155e+01,-5.236831328768064964e+01,-5.561685690261153070e+01,-5.571837174789346392e+01,-3.205869424290170144e+01,7.665927498380672489e+01,8.391911375253238248e+01,-5.554246935933721119e+01,-5.871476953386473241e+01,-5.744682362488475036e+01,-5.446394272736321085e+01,-5.548864674559316512e+01,8.654552040272810132e+01,-5.031122238628361742e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': '""'}",-4.139295627434817249e+01,-3.641306425550141057e+01,-3.392137808140996924e+01,-3.767188467280287512e+01,-3.826328623121354156e+01,-3.990884104312649328e+01,-3.036964403211796437e+01,8.240697138445946734e+01,-3.770870069332882224e+01,-3.460517541114717233e+01,7.462886886547198628e+01,-5.962032161342329317e+01,-5.678848997079188621e+01,-5.899894156502956122e+01,-3.830397660216052458e+01,7.910631196514113128e+01,8.385045522757553726e+01,-3.731135131889091383e+01,-3.902707214114437306e+01,-3.862082086542356762e+01,-6.198072801818936739e+01,-5.846128099442205439e+01,6.930363245606071132e+01,-5.411007272324557960e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': ""'""}",-3.609477146229829714e+01,-3.742466020558147477e+01,-3.628090655562551348e+01,-3.367934996281675097e+01,-3.658474100655794814e+01,-3.847400786048647348e+01,-3.833260535580476613e+01,7.827764398000348933e+01,-4.137927929630284041e+01,-4.366576629398515053e+01,7.064641993147532162e+01,-5.763665977860639344e+01,-6.061350311004652980e+01,-6.772895207964128872e+01,-3.896034080451316584e+01,8.108234317455378459e+01,7.679753659695596468e+01,-3.952843339456422456e+01,-3.808759351762591905e+01,-3.179286719288884910e+01,-5.873502139555512969e+01,-6.338410740191412174e+01,7.292515559324220931e+01,-5.681099648076425268e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': '%0A%0D'}",-3.375873769932709934e+01,-3.571178615121261402e+01,-3.155235010155783471e+01,-3.923696216389702585e+01,-3.460706948513452375e+01,-3.725363048416937062e+01,-3.128280591956317380e+01,7.609518112034767512e+01,-3.068340503937681518e+01,-3.933478937726301439e+01,8.289623537844975942e+01,-6.313949889296293350e+01,-6.077043338698526043e+01,-5.523159953323230553e+01,-3.369368555054054326e+01,7.267562695349820956e+01,8.091691235278253203e+01,-3.665107475828789063e+01,-3.701004971814822397e+01,-3.402979687666519482e+01,-5.349297295916475292e+01,-6.185202525935439155e+01,7.943573465942148459e+01,-5.699936126515025592e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '/*', 'PreExploit': ''}",-3.476246954474424200e+01,-3.228702961893751677e+01,-3.276417925555025334e+01,-3.352193131858631148e+01,-3.394158304730498799e+01,-3.590309353954975791e+01,-3.654675162646657327e+01,8.326965028251426304e+01,-3.741317347083827372e+01,-3.614740776302774350e+01,7.731261739867809979e+01,-5.704922312014208075e+01,-5.488552858960510150e+01,-5.833033009462273810e+01,-3.450493353536366214e+01,7.914398407644344502e+01,7.852789504265875564e+01,-5.672356920534069502e+01,-6.074679929055435679e+01,-6.404896160266412153e+01,-3.364848061945166080e+01,-3.665620231823438502e+01,8.080102020717032474e+01,-3.741034897398932202e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '/*', 'PreExploit': '""'}",-4.140212166877635980e+01,-3.858647030218889995e+01,-3.318860023322390163e+01,-4.053353357358778908e+01,-3.900646176104808660e+01,-3.716664150761084784e+01,-3.818805059154137638e+01,7.387414478227637460e+01,-3.489218322944287820e+01,-3.845943202650637716e+01,7.149431663330814501e+01,-6.422515116925384859e+01,-6.366288627236733078e+01,-5.997795350102234124e+01,-3.952678506556760851e+01,7.208999854698008392e+01,7.388163996310208859e+01,-3.654885816589030867e+01,-4.167250466377013396e+01,-3.519650366267254782e+01,-4.482462288295847230e+01,-4.060627523725381849e+01,7.516834376169133236e+01,-4.091440539788922592e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '/*', 'PreExploit': ""'""}",-4.427655613984681082e+01,-3.640584509435578298e+01,-3.636083784007011843e+01,-3.909041243804267651e+01,-3.579685058919892526e+01,-3.841426272479070292e+01,-3.672414084405097867e+01,7.910639985663280527e+01,-3.920037217775633565e+01,-3.986451076446319064e+01,7.034588311808272465e+01,-6.410650089307927146e+01,-6.002480814451095625e+01,-6.830089955328301699e+01,-4.291287689608964939e+01,8.166619001254957766e+01,7.634028598109006225e+01,-3.875975965679116086e+01,-4.553931252068240809e+01,-4.208656658096116132e+01,-4.039624828578977400e+01,-3.814574697510389001e+01,6.885401707550437322e+01,-4.419723309738122907e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '/*', 'PreExploit': '%0A%0D'}",-3.470166459678802795e+01,-4.298059903872633924e+01,-3.701593679483745802e+01,-4.323076359116419098e+01,-3.698443283063066644e+01,-3.916774160041784114e+01,-3.452340987047983134e+01,7.279385573045101410e+01,-4.170181300847950467e+01,-4.198465719570856436e+01,7.232678557011401210e+01,-6.212532752861444862e+01,-6.793793081228858455e+01,-6.527414726755496588e+01,-3.802463771161253447e+01,7.976115578032883491e+01,7.182637794415946075e+01,-4.146434593657236434e+01,-3.820538222382775473e+01,-4.056339036620614991e+01,-3.882520795519589285e+01,-4.038368366853340774e+01,7.953027975316564380e+01,-4.309251804035217503e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '', 'PreExploit': ''}",-3.601072674219207670e+01,-3.859825186195329394e+01,-3.821273142874453299e+01,-3.099727772836006423e+01,-4.149241495005468749e+01,-3.426769432081309930e+01,-3.985834007591917327e+01,8.320020682041435123e+01,-4.163924811720828245e+01,-3.963380878895340942e+01,8.047520624513995813e+01,-5.644959470082555697e+01,-5.981911746391207174e+01,-5.701392874397789967e+01,-5.494551936490452704e+01,7.703243444684906649e+01,6.994044422545061934e+01,-6.030405455500752510e+01,-5.721526521556098288e+01,-6.077692578856736105e+01,-3.777715590266486601e+01,-3.879576828043864367e+01,7.462519074310856126e+01,-3.755860236656580753e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '', 'PreExploit': '""'}",-3.935033824796087742e+01,-3.938026797152475211e+01,-3.803349293462423475e+01,-3.768662014309002473e+01,-3.606425932431078252e+01,-3.696440641759873813e+01,-3.627729942181295542e+01,8.304873904881833369e+01,-3.394590994454424049e+01,-3.872436627940291487e+01,7.254712721352696292e+01,-5.868750456139895988e+01,-6.289781318876387672e+01,-6.666909425043920123e+01,-6.156928085989958532e+01,7.695516974076416261e+01,7.075176818078533358e+01,-3.947270280754958094e+01,-3.892987655684012793e+01,-4.228662092918097670e+01,-3.524608046590984145e+01,-3.350026869435287580e+01,8.046848435835515545e+01,-3.839967419237262902e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '', 'PreExploit': ""'""}",-3.860749215786984934e+01,-4.216840443653937598e+01,-3.315663693138290569e+01,-4.069969325023416218e+01,-3.967210298957829195e+01,-3.321923455343288367e+01,-3.743730008759956007e+01,7.845157035430274561e+01,-4.559753361265133975e+01,-3.934895697585229613e+01,7.356133153451079920e+01,-5.731100528086621892e+01,-6.062799491193943169e+01,-6.148566595770536480e+01,-5.669714171475369113e+01,7.587698163735616674e+01,7.728967222792510938e+01,-3.386848889648438643e+01,-4.006851076954846747e+01,-3.943984273969819299e+01,-3.491133823508806699e+01,-3.196684261880563938e+01,7.724909800609620447e+01,-3.677994932816621088e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '', 'PreExploit': '%0A%0D'}",-4.510150367486559730e+01,-3.896117112185726938e+01,-2.692771305298906270e+01,-4.464185765851224375e+01,-3.777009492680759450e+01,-3.892018288677397919e+01,-4.317000105843298030e+01,7.607227052379718657e+01,-4.367961376639416216e+01,-3.507485042660878349e+01,7.400143331718308559e+01,-6.779348430343593179e+01,-6.549255907696935708e+01,-6.786729050721251610e+01,-5.717679516587575961e+01,7.574360946328033606e+01,7.807076609391103261e+01,-3.606005341814028498e+01,-4.101543873790373596e+01,-4.416163922155864441e+01,-3.888678760769538911e+01,-3.956983807814419407e+01,7.380858695554627502e+01,-4.161957518102665432e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '</script>', 'PreExploit': ''}",-3.156480450274096583e+01,-3.670372802563867509e+01,-2.625286661453156256e+01,-3.736011760604767318e+01,-3.166952312562859717e+01,-3.379645929543579541e+01,-3.913043683239811799e+01,8.777133986462445137e+01,-3.732630165725835525e+01,-4.252104545955950243e+01,7.705518740434459346e+01,-6.496064054098354745e+01,-6.037180396574958507e+01,-6.322555143344941087e+01,-5.357911606114905112e+01,8.144419068834946529e+01,7.856525357640666130e+01,-5.940650067740234874e+01,-5.720929224244616051e+01,-6.593522276655693304e+01,-3.232550963878227179e+01,-3.759295740968867960e+01,7.919797033940641029e+01,-3.346333674185337514e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '</script>', 'PreExploit': '""'}",-3.796569937574326303e+01,-4.001680397446106952e+01,-3.298177832126769005e+01,-4.070798242054333826e+01,-3.600061869834855344e+01,-3.293709343055066796e+01,-3.970659985217854171e+01,7.642426573223548303e+01,-3.844721085221578960e+01,-3.476348267395647440e+01,6.713112923112880992e+01,-6.119121905434661812e+01,-5.614256920530446848e+01,-6.448487155741838706e+01,-6.332202040888537908e+01,7.444739014047613068e+01,8.613512517656972989e+01,-4.136738817954136493e+01,-4.075994499780986757e+01,-3.602840849653439648e+01,-3.584594596317806037e+01,-4.037382779617819040e+01,7.733338399377284134e+01,-3.650823861908128976e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '</script>', 'PreExploit': ""'""}",-3.558355451335322783e+01,-4.149774786537143001e+01,-3.292376276233355270e+01,-4.101110831097397380e+01,-4.093781931786173089e+01,-3.553408719010658956e+01,-4.130975490917638382e+01,7.591102741137693499e+01,-3.617577186250353805e+01,-4.256644364218198007e+01,7.938144118928869375e+01,-6.322001325809088712e+01,-6.428400793272217584e+01,-6.228236713956971471e+01,-5.796990714383544230e+01,7.304553971586163641e+01,8.311799814162147015e+01,-3.489244282281600817e+01,-3.433149301653404706e+01,-3.875605886380576948e+01,-3.737463868008367029e+01,-3.473945422679828710e+01,8.096845856285285947e+01,-3.587960270595358026e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '</script>', 'PreExploit': '%0A%0D'}",-3.901458624506349082e+01,-3.729610345894385404e+01,-3.354476510692202140e+01,-3.869769063121474773e+01,-3.633862275375191331e+01,-3.318809403085145959e+01,-3.862887656793561320e+01,7.594656764350605727e+01,-3.695125925050886906e+01,-3.804396852180111921e+01,6.759249433538452934e+01,-6.203444794332227730e+01,-6.399955695921236298e+01,-6.108463818138949364e+01,-5.952103714840958304e+01,7.437219831957136762e+01,7.767634727080630341e+01,-3.880717713614342301e+01,-3.676288749674599643e+01,-3.994291830006051924e+01,-4.535497493577215522e+01,-3.412588809733237127e+01,7.419523884475134423e+01,-4.019874825811866970e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '//', 'PreExploit': ''}",-3.922486640940405778e+01,-3.484450756452456233e+01,-2.681240895262153145e+01,-4.555273063685297785e+01,-3.529744774858380651e+01,-3.962493245084279181e+01,-4.245742360690729100e+01,2.071959172661696513e+01,-3.759613941427505779e+01,-4.967997983696381681e+01,7.166855301117165311e+01,-6.384325014179239588e+01,-5.714476208035090110e+01,-5.747445457951323533e+01,-5.459162377286219225e+01,7.585325414811912026e+01,8.155122982829988132e+01,-5.581425653875682258e+01,-5.178514455049148069e+01,-6.013680899698908178e+01,-5.731635231784958506e+01,-5.367024253404280643e+01,7.090334389920674596e+01,-5.625669734764157681e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '//', 'PreExploit': '""'}",-3.308143523024173760e+01,-4.440069002400004194e+01,-3.261820709469546387e+01,-3.431424108413929730e+01,-3.423168757416920016e+01,-3.668346392369347342e+01,-3.586390003212481759e+01,7.335920152087304302e+01,-3.954035615123878245e+01,-3.545586613961465616e+01,7.657081099439098182e+01,-5.725407852251867524e+01,-5.374000006083917924e+01,-5.816131904149131060e+01,-5.786460797097073083e+01,7.870872015401532451e+01,8.174363361772905989e+01,-4.063868270200524080e+01,-3.476641101042540072e+01,-3.922565525115662410e+01,-5.844351087179257576e+01,-5.907137469120002748e+01,8.242683323933169959e+01,-5.752103197772937904e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '//', 'PreExploit': ""'""}",-3.718570285602903169e+01,-3.913143431038505327e+01,-2.793618204475124500e+01,-3.904630122315955987e+01,-3.630216399547901318e+01,-4.039605263679821689e+01,-3.467757937611192176e+01,7.798223884810380468e+01,-3.807070643713305458e+01,-4.093431145075449962e+01,8.443442456212137870e+01,-5.382857569925306507e+01,-5.884260142812873084e+01,-5.513542396320230665e+01,-5.694181388984522840e+01,8.047648200452601941e+01,7.668308144331561493e+01,-3.592341196458048103e+01,-3.428685884111500570e+01,-4.073589355039237603e+01,-5.590973350012843923e+01,-5.350546204502925463e+01,8.013617418432505701e+01,-5.449603543158230679e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '//', 'PreExploit': '%0A%0D'}",-3.607608960926545194e+01,-3.762853708883204717e+01,-2.269450442474536445e+01,-4.196475735358184522e+01,-3.830040294607393037e+01,-3.931067706180839849e+01,-4.048511081439415449e+01,7.142535004880680560e+01,-3.447066612491532567e+01,-3.818056735777693689e+01,7.641729056931067987e+01,-5.720542314426497654e+01,-5.970407596201577860e+01,-5.762843219739332312e+01,-5.699684542199963744e+01,7.569397671144035655e+01,7.448139020444857294e+01,-3.730164467316853205e+01,-3.514128450266605341e+01,-3.953688134754148109e+01,-6.181735661337939547e+01,-6.347884476163832090e+01,7.584922156122325987e+01,-5.627707608649859594e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '/*', 'PreExploit': ''}",-3.496068061295601126e+01,-3.239852769119350739e+01,-3.380379439368895333e+01,-3.401098343957712444e+01,-3.738473806606823757e+01,-3.357843145837054522e+01,-3.160136332363675038e+01,8.144335076735451651e+01,-3.741995147199519778e+01,-3.050106193313746417e+01,7.998872960123183873e+01,-6.072870508379266852e+01,-5.966100812497003858e+01,-5.715323329543311104e+01,-5.324539190073324590e+01,7.680852135165636696e+01,8.178951172413688653e+01,-5.366584933331800045e+01,-5.524978802648767129e+01,-5.614609361667239540e+01,-3.680122685372888469e+01,-3.311924152429619994e+01,7.495328063934464069e+01,-3.198187351853434635e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '/*', 'PreExploit': '""'}",-3.507897637288187553e+01,-3.807791602027129585e+01,-3.307755026833422818e+01,-4.570975396778843702e+01,-4.359410112370665047e+01,-4.497898292727649050e+01,-3.775997470539606127e+01,7.736409992189295792e+01,-3.087218702855330577e+01,-3.233081380411351091e+01,7.327658948042518716e+01,-6.345780108466757952e+01,-6.036857756624812765e+01,-6.554253068776009172e+01,-6.434490514493893443e+01,7.508804713381047691e+01,7.612099311554531766e+01,-3.575275977739605082e+01,-3.823527837026947651e+01,-3.105887681185676641e+01,-3.581113627267689026e+01,-3.280609847034882165e+01,8.138528336377841299e+01,-3.658823696176153817e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '/*', 'PreExploit': ""'""}",-3.282120157041563147e+01,-3.645083266764047636e+01,-3.443568706047063444e+01,-3.680833226483095189e+01,-3.427660563453416387e+01,-3.379097369134850481e+01,-3.403283183054730898e+01,8.425539072384150074e+01,-3.597282619936355275e+01,-3.795728060491929057e+01,7.633958679577557405e+01,-6.364749449361413269e+01,-6.093909496630595868e+01,-5.958401391176485618e+01,-5.939599948081863801e+01,8.315261616853051407e+01,8.014956334563503049e+01,-3.694216499505385798e+01,-3.374882960953906519e+01,-3.460125200923830135e+01,-3.770764506788816561e+01,-3.116827482294620566e+01,8.614370364716779704e+01,-3.739926026367649570e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': 'alert(1);', 'PostContext': '/*', 'PreExploit': '%0A%0D'}",-3.548687367813543858e+01,-4.059140148652820557e+01,-3.307560311926144436e+01,-4.244739572190020738e+01,-3.854990611526433497e+01,-3.969286658164787696e+01,-3.368870427902243136e+01,7.691854535895912193e+01,-3.863587818121006734e+01,-4.099228171042328484e+01,7.759333409247537361e+01,-5.901161990330769669e+01,-5.972251722795648021e+01,-6.011056510216731397e+01,-6.301573060382261815e+01,8.151027006542715014e+01,8.439397184054433865e+01,-4.085954238309249575e+01,-3.665691519206301052e+01,-3.442147141404213784e+01,-3.927128623000913876e+01,-4.081190571859393401e+01,7.971851280961116970e+01,-3.574058443406315888e+01
"{'PreContext': '', 'Context': '<script>', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ''}",-3.706182120547422443e+01,-4.021118295980143387e+01,-3.479476587535204857e+01,-4.570129872433282259e+01,-3.634428600831435574e+01,-3.488291044715290212e+01,-3.730133957694577163e+01,7.601230543551959329e+01,-3.700558133640867453e+01,-3.719860117083988627e+01,8.402418840695987967e+01,-3.731315542599774204e+01,-3.910467267860951068e+01,-3.830766039116762300e+01,-3.433825469505892158e+01,7.862684081868330566e+01,7.194329770065216678e+01,-6.344081593630883731e+01,-6.301835917594270597e+01,-6.348097795083341310e+01,-4.482633011052187300e+01,-3.280189190832695800e+01,7.349105426336875269e+01,-4.103311032383987111e+01
