STATE/ACTION,"{'place': 'PreContext', 'substring': ''}","{'place': 'PreContext', 'substring': '"">'}","{'place': 'PreContext', 'substring': '</textarea>'}","{'place': 'PreContext', 'substring': '-->'}","{'place': 'PreContext', 'substring': '""'}","{'place': 'PreContext', 'substring': ""'""}","{'place': 'PreContext', 'substring': ""';""}","{'place': 'PreContext', 'substring': '"";'}","{'place': 'PreContext', 'substring': ';'}","{'place': 'PreContext', 'substring': '*/'}","{'place': 'Context', 'substring': ''}","{'place': 'Context', 'substring': '<script>'}","{'place': 'Context', 'substring': 'javascript:'}","{'place': 'Context', 'substring': 'onerror='}","{'place': 'ExploitCode', 'substring': ''}","{'place': 'ExploitCode', 'substring': 'alert(1);'}","{'place': 'PreExploit', 'substring': ''}","{'place': 'PreExploit', 'substring': '""'}","{'place': 'PreExploit', 'substring': ""'""}","{'place': 'PreExploit', 'substring': '%0A%0D'}","{'place': 'PostContext', 'substring': ''}","{'place': 'PostContext', 'substring': '</script>'}","{'place': 'PostContext', 'substring': '//'}","{'place': 'PostContext', 'substring': '/*'}"
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ''}",-3.893710051306361208e+01,-3.505523903448658274e+01,-4.129765407215732154e+01,-3.896470798029015725e+01,-4.114072456134653066e+01,-3.509075166905234511e+01,-3.666025257002411308e+01,-4.427319625663558611e+01,-3.876837972903312846e+01,7.750615750064207532e+01,7.123310556420163664e+01,-6.428531496829518233e+01,-6.216286707847773840e+01,-6.118432826199506280e+01,-3.698195479487507242e+01,8.264131818065304458e+01,-3.729915221763413768e+01,-3.878528749152803812e+01,-3.520015033874702937e+01,7.496506405313905930e+01,-3.855085739949480228e+01,-4.259011837578090365e+01,-3.546406711024028624e+01,7.401162826301262498e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': '""'}",-4.170587122351763298e+01,-4.258936164113936229e+01,-3.826021714751504987e+01,-3.991203581950667711e+01,-3.851858486164788076e+01,-4.399046546077805431e+01,-4.119124697846065430e+01,-3.631080405351730178e+01,-4.221705204121628441e+01,7.312516546503678683e+01,6.637548058541948137e+01,-6.744234446774650849e+01,-6.669529132218801237e+01,-6.327859413454305582e+01,-4.488498386693346021e+01,7.492803056320772725e+01,-4.250559684195628307e+01,-3.891665208538872633e+01,-4.016693390641594874e+01,7.743182879138024077e+01,-3.914846880796387296e+01,-3.579335622179869603e+01,-3.997980631511737926e+01,8.232969461251532550e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ""'""}",-3.582714896417363803e+01,-3.731110735846912974e+01,-4.039913233293543016e+01,-3.990716846077388880e+01,-3.966793029450361985e+01,-3.903821617499537666e+01,-3.953392180082010299e+01,-3.844554058150060172e+01,-3.850678472691654974e+01,7.504608065395541416e+01,7.409742197197212477e+01,-6.720496177149853168e+01,-6.360466899150078035e+01,-6.563195892134578457e+01,-3.874865697606715287e+01,8.241654124873336684e+01,-3.774905612685769540e+01,-3.841385281249858252e+01,-3.989202701390072292e+01,7.597074512136541102e+01,-3.477012691203974271e+01,-4.014357676040479106e+01,-4.239692369333999977e+01,7.636124208406886282e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': '%0A%0D'}",-3.738114719539419895e+01,-3.858252307524504943e+01,-4.212738942387983343e+01,-3.876871088339819948e+01,-3.689465987561132465e+01,-4.139088150085873963e+01,-4.120380708665497593e+01,-3.036887211496830474e+01,-3.355095227722149076e+01,7.795453337964833906e+01,6.858437508814969874e+01,-5.444352512093915664e+01,-5.938101044090694103e+01,-5.711901069014610499e+01,-3.944072599167320448e+01,7.338982408023800019e+01,-5.939678905560958810e+01,-5.678896073931965560e+01,-6.318363882030386947e+01,7.912963406828302482e+01,-3.581415291529418710e+01,-3.487696662907174527e+01,-3.407369827876797075e+01,8.535920308124242695e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': ''}",-4.199333419888505858e+01,-3.832316058164001049e+01,-3.826271057951132804e+01,-3.616675995273896405e+01,-3.992711253442685404e+01,-3.600841423061114455e+01,-4.112825909720409356e+01,-3.589162698218868286e+01,-3.922279107140061427e+01,7.129392753027654805e+01,7.044069242046626300e+01,-6.484874615577015788e+01,-6.610128747365673973e+01,-5.839615281254216939e+01,-3.463932524586903838e+01,6.766878984382530859e+01,-4.024214066451834526e+01,-3.562932851428718095e+01,-3.707965637065755971e+01,8.038411637449671332e+01,-3.842500868172459150e+01,-3.654224169636510311e+01,-3.896177695643062577e+01,8.277566388137853437e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': '""'}",-3.559390236259329754e+01,-4.290293401802563977e+01,-4.149853584360986503e+01,-3.907315744515238976e+01,-4.257942220777481168e+01,-3.664234245451267924e+01,-4.028809264359615838e+01,-4.381308151875109047e+01,-3.461620290711933734e+01,7.584695240512982650e+01,7.870812420157066924e+01,-6.035944703372996401e+01,-6.093169124275944171e+01,-6.217360590882512383e+01,-3.326479249306286334e+01,7.435652691799377578e+01,-3.766751302208326990e+01,-3.295568762898881232e+01,-4.331252344447924685e+01,8.326761005805703064e+01,-3.972967266737999381e+01,-3.937452027145220512e+01,-3.901202893671555216e+01,8.373178083063096722e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': ""'""}",-4.190355785502036667e+01,-4.493504064468024239e+01,-4.084869252882685231e+01,-4.333965331212684191e+01,-3.711187365518129155e+01,-4.846469907514450881e+01,-3.492679980672699003e+01,-3.490527240217822680e+01,-3.598683011449166003e+01,7.309965311310639891e+01,6.825459913182729110e+01,-6.261030297194418637e+01,-6.449955165986818884e+01,-6.695073258706088382e+01,-4.242115737167239331e+01,7.539043867976639035e+01,-3.827106348899958022e+01,-3.767274769506294518e+01,-4.971469360113836444e+01,7.336891837893936952e+01,-3.550387555898679892e+01,-4.219236837664524842e+01,-3.621247730363561601e+01,7.993415691223489716e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': '%0A%0D'}",-3.815777713079146594e+01,-3.654687428641307889e+01,-3.638163907485379411e+01,-3.086574323571801060e+01,-3.687351049311665463e+01,-3.686171358528235231e+01,-4.179368886184190046e+01,-3.185951475327629723e+01,-3.016438646010489322e+01,8.452236503053323702e+01,7.354001210441384728e+01,-6.025419169175022915e+01,-5.849638325858147425e+01,-5.950645631663138602e+01,-3.592544792783881746e+01,7.860676719815000979e+01,-5.380503137519772139e+01,-5.105492749935740449e+01,-5.914691654001225629e+01,7.787084487431334878e+01,-3.619916903249890794e+01,-3.737898072156631457e+01,-3.680072984121898116e+01,8.216774701148705162e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': ''}",-3.312845249569981121e+01,-3.880167959463575755e+01,-3.816690081786138933e+01,-3.856672308718567876e+01,-4.037879373501948521e+01,-4.355285837695420526e+01,-4.489062260246429759e+01,-3.699873960008298468e+01,-3.323422133962270664e+01,8.221179385950865992e+01,7.314343249534533697e+01,-5.827341469591476653e+01,-6.799315152812749830e+01,-5.931451596158965600e+01,-4.014664938947612427e+01,7.136432637520609035e+01,-3.402959026313460100e+01,-3.482181650845787857e+01,-4.238040302749544708e+01,8.469254978847786219e+01,-3.718248399689370842e+01,-4.039392217110162164e+01,-2.979508388462954116e+01,7.793621864838563340e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': '""'}",-3.701584044405259277e+01,-4.483109711612700465e+01,-4.153668565994222206e+01,-3.910303776084095517e+01,-4.248331536242029927e+01,-3.947216966707521379e+01,-3.886118740291155405e+01,-3.904535237871622400e+01,-4.091840197636365417e+01,6.689708647030947475e+01,7.223523556225802622e+01,-6.515777611913655676e+01,-6.745868828727185473e+01,-6.413585896997098246e+01,-3.723388435358796045e+01,7.474275351174826199e+01,-3.543983874701777381e+01,-3.869794872627632998e+01,-3.691430665325605531e+01,7.428867112295500874e+01,-4.085850439553293256e+01,-3.623571743416870561e+01,-3.963484474131669799e+01,8.204160790744634824e+01
