STATE/ACTION,"{'place': 'PreContext', 'substring': ''}","{'place': 'PreContext', 'substring': '"">'}","{'place': 'PreContext', 'substring': '</textarea>'}","{'place': 'PreContext', 'substring': '-->'}","{'place': 'PreContext', 'substring': '""'}","{'place': 'PreContext', 'substring': ""'""}","{'place': 'PreContext', 'substring': ""';""}","{'place': 'PreContext', 'substring': '"";'}","{'place': 'PreContext', 'substring': ';'}","{'place': 'PreContext', 'substring': '*/'}","{'place': 'Context', 'substring': ''}","{'place': 'Context', 'substring': '<script>'}","{'place': 'Context', 'substring': 'javascript:'}","{'place': 'Context', 'substring': 'onerror='}","{'place': 'ExploitCode', 'substring': ''}","{'place': 'ExploitCode', 'substring': 'alert(1);'}","{'place': 'PreExploit', 'substring': ''}","{'place': 'PreExploit', 'substring': '""'}","{'place': 'PreExploit', 'substring': ""'""}","{'place': 'PreExploit', 'substring': '%0A%0D'}","{'place': 'PostContext', 'substring': ''}","{'place': 'PostContext', 'substring': '</script>'}","{'place': 'PostContext', 'substring': '//'}","{'place': 'PostContext', 'substring': '/*'}"
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ''}",-4.165202479523225776e+01,-4.012526082508995984e+01,-3.687070124978004060e+01,-3.792526028874520705e+01,-3.072119388440684062e+01,-3.817384319801798398e+01,8.040730764708440859e+01,-3.160806288761669336e+01,-3.417618013882442085e+01,-3.584944653086223809e+01,7.370173555780634445e+01,-5.421642006382882784e+01,-5.664666555858943298e+01,-5.962441614564011161e+01,-3.705619443586442685e+01,8.228581260966531374e+01,7.314720524472244279e+01,-5.568026090818715090e+01,-5.564424499483028086e+01,-5.484707961902242346e+01,-3.541872606487859088e+01,-3.909269811301061992e+01,7.509499253269665076e+01,-3.536331876917017780e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': '""'}",-4.358296800105079427e+01,-4.298492431320730134e+01,-3.800912331580757098e+01,-3.941241778014241248e+01,-3.829690530888240119e+01,-4.009591324843660942e+01,8.096530721023145816e+01,-3.948490477383223407e+01,-3.934163048059921408e+01,-3.403979742780244777e+01,6.939869370534087523e+01,-5.898177897487598642e+01,-6.126543683511479799e+01,-6.063890978068599935e+01,-3.642617691188863205e+01,7.785955808268660405e+01,7.576063228652316184e+01,-3.345501728354539495e+01,-3.629439181161922789e+01,-3.118255117756240224e+01,-3.419947810766336715e+01,-4.449626327380136104e+01,8.452961539391682777e+01,-4.212613412189393358e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ""'""}",-3.766994897333053416e+01,-4.896024197091612251e+01,-3.853450730446715511e+01,-4.087951808200154602e+01,-3.785104860915145508e+01,-3.898666635951705217e+01,7.158754110048241159e+01,-3.816106705452300929e+01,-4.449496062544466923e+01,-4.155887055365045768e+01,7.080137247279846235e+01,-6.066826861417145267e+01,-6.360189782655147184e+01,-6.072647474482457142e+01,-3.407659938592703242e+01,8.421014087738029730e+01,7.958964424335600540e+01,-3.174444976579129474e+01,-3.602886888332370319e+01,-3.394241552828678010e+01,-3.539006405953324474e+01,-4.352144620519666773e+01,7.416856063757502682e+01,-4.215783003237848447e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': '%0A%0D'}",-3.437572561904644886e+01,-4.069485698292325537e+01,-4.170846244607397324e+01,-3.922509031047936645e+01,-3.499551238415268983e+01,-4.302575241904045100e+01,8.212970281994958555e+01,-3.779572004836482080e+01,-4.219211491394750624e+01,-3.900665820848259102e+01,6.996851482933325883e+01,-6.206537454977593882e+01,-6.238488145592594947e+01,-6.149285984523810100e+01,-3.916209595761076656e+01,8.173297162118443282e+01,8.200397331811046797e+01,-3.811019731803063593e+01,-3.801891383334274366e+01,-4.098528776358607217e+01,-3.245262766277998878e+01,-4.240340524601582928e+01,7.172522236493875880e+01,-3.938753005182375233e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': ''}",-3.844592881558730113e+01,-3.793170828580680620e+01,-3.495713133939799633e+01,-2.559812502916090082e+01,-3.952445221971283473e+01,-4.219491447117476213e+01,7.732701832711062195e+01,-4.187298733237223303e+01,-4.044021051725388105e+01,-4.026814350509818752e+01,7.211074698428018337e+01,-5.999470399286586542e+01,-6.124923301325641489e+01,-5.627971910938485678e+01,-4.255965586300935399e+01,7.628071582237572557e+01,6.882220342904733457e+01,-5.814570079131374314e+01,-6.374684464739047485e+01,-6.474177880156631204e+01,-3.225432185442647182e+01,-4.106622367291787157e+01,7.189924051003728778e+01,-3.952263852469104677e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': '""'}",-3.698293198743746757e+01,-3.506196739750767222e+01,-3.700198586041088333e+01,-3.781989733947377630e+01,-3.989296476520416235e+01,-3.723926892469883398e+01,8.171676844564527187e+01,-4.325758874565835299e+01,-4.090579284227722923e+01,-4.350431635440252620e+01,6.912485201964580028e+01,-6.324122302138825802e+01,-6.074817622344743029e+01,-5.882030548630208955e+01,-4.106600846225899915e+01,7.728385352713365819e+01,7.136208298719454035e+01,-3.692560173671865442e+01,-3.997685808970086185e+01,-4.101248367796650030e+01,-3.475962296567355736e+01,-4.508242423934034804e+01,7.036501880936226883e+01,-3.668599854037411490e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': ""'""}",-3.965627466551040214e+01,-4.174458400532331837e+01,-4.190449494644911255e+01,-3.513923508875330270e+01,-4.246705620538349990e+01,-4.406598693794456523e+01,7.710630514972577032e+01,-4.458524113378620513e+01,-3.844721054027239404e+01,-4.205240633716977072e+01,6.907059059220456732e+01,-6.128855647315140942e+01,-6.727710456612712164e+01,-6.388873486373727673e+01,-4.314637942190911701e+01,6.925455343990873303e+01,6.912944352562303152e+01,-3.744534959947857544e+01,-3.989222683364017286e+01,-4.556512620182989792e+01,-3.177142331281639898e+01,-3.991204176878620302e+01,7.122932615572204895e+01,-3.629041316656969229e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': '%0A%0D'}",-4.107945475898698362e+01,-4.165847869165614270e+01,-4.143313449369454560e+01,-3.197624518769843149e+01,-4.362116569333413452e+01,-4.227016723266490317e+01,7.581795451540153863e+01,-4.479383232122431480e+01,-3.821237480583435087e+01,-3.799665263889189504e+01,6.952238980938011537e+01,-6.059299532906108254e+01,-6.466782220334336273e+01,-6.804069170087019813e+01,-4.285259742467583521e+01,6.980345619461007800e+01,7.348858203536026679e+01,-4.296136821825626839e+01,-4.233244752120577203e+01,-4.354223330614736653e+01,-3.384310048111775870e+01,-4.011241413813917234e+01,6.949300594491842276e+01,-3.901949836678184624e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': ''}",-3.822603700250658676e+01,-3.281417677241630315e+01,-4.078831824881336132e+01,-3.197610362998289801e+01,-4.244370130766446181e+01,-4.139597540984917146e+01,7.000324068199319072e+01,-3.823022207263264960e+01,-3.856826309240044992e+01,-4.011678786643926742e+01,7.004637332212458034e+01,-5.153366858974781906e+01,-5.225094453814158157e+01,-5.541706293977344444e+01,-3.956508051445254637e+01,6.885163990665478195e+01,7.379259475183849304e+01,-5.625353972653071111e+01,-5.826818801346335874e+01,-5.996571042395515860e+01,-5.605042296555841119e+01,-6.431105121350854859e+01,6.745492891296217408e+01,-5.631426342547288044e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': '""'}",-3.008210720279739547e+01,-3.538383818925347413e+01,-3.360678829667024559e+01,-3.392322944500266146e+01,-3.583439414966250780e+01,-3.951365460323886936e+01,8.722028499171288729e+01,-3.349597024878552531e+01,-3.369761749621031299e+01,-3.133793021693634273e+01,7.961623271756292297e+01,-5.819822242381833632e+01,-5.442261962551076948e+01,-5.740975922569709411e+01,-3.392882455991177437e+01,8.059403050984334982e+01,7.142072156623191859e+01,-3.191007971040680147e+01,-3.971042841379992439e+01,-3.963106072790592549e+01,-5.817858847922889964e+01,-6.344401591306172605e+01,7.520282748375392146e+01,-5.716339631840663316e+01
