STATE/ACTION,"{'place': 'PreContext', 'substring': ''}","{'place': 'PreContext', 'substring': '"">'}","{'place': 'PreContext', 'substring': '</textarea>'}","{'place': 'PreContext', 'substring': '-->'}","{'place': 'PreContext', 'substring': '""'}","{'place': 'PreContext', 'substring': ""'""}","{'place': 'PreContext', 'substring': ""';""}","{'place': 'PreContext', 'substring': '"";'}","{'place': 'PreContext', 'substring': ';'}","{'place': 'PreContext', 'substring': '*/'}","{'place': 'Context', 'substring': ''}","{'place': 'Context', 'substring': '<script>'}","{'place': 'Context', 'substring': 'javascript:'}","{'place': 'Context', 'substring': 'onerror='}","{'place': 'ExploitCode', 'substring': ''}","{'place': 'ExploitCode', 'substring': 'alert(1);'}","{'place': 'PreExploit', 'substring': ''}","{'place': 'PreExploit', 'substring': '""'}","{'place': 'PreExploit', 'substring': ""'""}","{'place': 'PreExploit', 'substring': '%0A%0D'}","{'place': 'PostContext', 'substring': ''}","{'place': 'PostContext', 'substring': '</script>'}","{'place': 'PostContext', 'substring': '//'}","{'place': 'PostContext', 'substring': '/*'}"
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ''}",7.683158519025309374e+01,-5.530317483348603957e+01,-5.886662556026126936e+01,-5.698410478292745296e+01,-5.754520020940202585e+01,-5.701032447986374052e+01,-5.930774387859909069e+01,-5.603175501155886451e+01,-5.302752524545940105e+01,-5.699167240066262963e+01,-3.056140516915300154e+01,-3.595204334807288404e+01,7.523979372596836868e+01,-3.561463402610876017e+01,-3.152207032676914267e+01,8.115690983616967458e+01,7.918594947872601608e+01,-5.676421512682469483e+01,-4.948022166349833384e+01,-5.433421802546056512e+01,8.463055962404638422e+01,-5.657885999530038390e+01,-5.233278754884887007e+01,-6.008117080619538086e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': '""'}",7.569202373489642355e+01,-6.236976090570232145e+01,-6.369710438186948664e+01,-6.216375465715735515e+01,-6.179232891528850757e+01,-5.469530151147029784e+01,-5.856463468454654731e+01,-5.904725608511346024e+01,-6.198997729449700245e+01,-6.168042117871885210e+01,-3.902528805557025748e+01,-4.081007383552975654e+01,7.692353130736123035e+01,-3.703397265623839019e+01,-4.322503851172484701e+01,7.401739568815226278e+01,7.777024765861247602e+01,-3.722267921594948348e+01,-3.246177195529341475e+01,-3.510985282493562920e+01,7.445433009020923976e+01,-6.265167257091175657e+01,-5.860577567661609777e+01,-5.740714644596248917e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ""'""}",8.126945317390318735e+01,-6.036185811279526803e+01,-5.599992148792134827e+01,-5.270543630592412399e+01,-5.356966825207052096e+01,-5.361917461356911474e+01,-5.845109993704998175e+01,-5.450133880407003772e+01,-6.026129296214395481e+01,-5.661650343372306082e+01,-3.202015525711494348e+01,-3.160422778228133112e+01,8.063148289355375198e+01,-3.832913417987133187e+01,-3.148831666002307372e+01,8.776469540973837979e+01,7.779008064607086226e+01,-4.094047826686580294e+01,-3.279925670719027408e+01,-3.166462833948318334e+01,7.987109864657298886e+01,-6.553672150938953678e+01,-5.515892971304162273e+01,-5.552043153969444234e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '', 'PreExploit': '%0A%0D'}",6.926313829098043584e+01,-6.193418367054783857e+01,-6.159488203569453901e+01,-5.980450272805104817e+01,-5.648466450151681784e+01,-6.345329086961890397e+01,-5.343417244131987331e+01,-5.649073372293808148e+01,-5.860591392946102474e+01,-5.802019531096075156e+01,-2.817471172736798835e+01,-3.851429708143825792e+01,8.527498700914958363e+01,-3.471806498963262300e+01,-2.991395606621435022e+01,9.015440045130037561e+01,7.730955418243907218e+01,-4.061643004709127069e+01,-3.126764892204288770e+01,-2.958618829400943540e+01,7.623318258053861030e+01,-5.629425410851918343e+01,-6.048483648154609682e+01,-5.605279567509480643e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': ''}",7.434328708254957974e+01,-6.327259371853926240e+01,-5.764883927022548704e+01,-5.712856994641472852e+01,-6.040214958442020787e+01,-5.595270144158416770e+01,-6.389201538207871067e+01,-5.494006049624557875e+01,-5.683030710519346229e+01,-5.983092183344000858e+01,-3.487769614416902186e+01,-3.678759824561803526e+01,7.671506208349330791e+01,-3.441532312370922853e+01,-4.603162226991513961e+01,7.405209750965924798e+01,7.115875192504657321e+01,-5.912793742684166176e+01,-5.575838073470231393e+01,-5.961400648592461948e+01,8.091723261149340374e+01,-3.841051441845999648e+01,-3.209828036033213294e+01,-3.541420384136436894e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': '""'}",6.618661717778500986e+01,-6.425073564997101982e+01,-6.577073981277516168e+01,-6.667427765335060030e+01,-6.902864207552198650e+01,-6.253662317806593762e+01,-6.243599840751473806e+01,-6.209584780866347131e+01,-6.297590267733127689e+01,-6.508713105960319467e+01,-4.249803574422183061e+01,-4.302686740852650615e+01,7.092966721874958580e+01,-4.519962974788188603e+01,-4.002021089868209458e+01,7.331011860220952769e+01,7.541858946460875757e+01,-4.207432826865442621e+01,-3.615031550763872303e+01,-3.917762890480636884e+01,7.383252392890014448e+01,-4.186817865834056107e+01,-3.735677149549400156e+01,-4.264953483080289232e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': ""'""}",6.817691917036853511e+01,-6.252174976336432621e+01,-6.138321145133403434e+01,-6.428633891857320748e+01,-6.466316903794154314e+01,-6.065618897723815905e+01,-6.918420873138245497e+01,-6.764793364728031122e+01,-5.982181494437809022e+01,-6.493830359035298727e+01,-4.252799010139741398e+01,-4.791971863269564835e+01,7.602665852763524867e+01,-3.973386831609349912e+01,-3.749620752042562088e+01,7.645473439865820353e+01,7.455114277219793451e+01,-4.099120663864147218e+01,-4.182443266306511731e+01,-3.929566293679702937e+01,7.766153270697149935e+01,-4.223452783971821844e+01,-3.987099574680859604e+01,-3.514650997974467828e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '</script>', 'PreExploit': '%0A%0D'}",7.167672123067910661e+01,-6.393964173829106556e+01,-6.395973016726179594e+01,-6.200951476455627898e+01,-6.813817197615674104e+01,-6.519543345086356112e+01,-6.327196774143428826e+01,-6.250366815546087196e+01,-6.524655454640500807e+01,-6.429876733598210592e+01,-3.431161976995836227e+01,-3.950993339539729732e+01,7.335293974432941866e+01,-3.436416519532096459e+01,-3.923662652788048177e+01,7.651374286311188655e+01,7.501716721816126210e+01,-4.519200068828319417e+01,-4.320955970711580107e+01,-4.160840205773280331e+01,8.114788995363103652e+01,-3.561968172879180372e+01,-3.353192608424643595e+01,-4.325697170347162057e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': ''}",8.141059534170751988e+01,-5.704158542206815241e+01,-5.807142592593562114e+01,-6.071176008099190113e+01,-5.491267583545708675e+01,-5.886009087987041966e+01,-6.237238649651501277e+01,-5.796384533731630029e+01,-5.969513191680882613e+01,-6.409489850150542622e+01,-4.099287107608825664e+01,-3.746981690755675487e+01,8.476274077057617262e+01,-3.635602115716002913e+01,-3.111274716992151568e+01,7.260783881711157051e+01,8.130068592520116511e+01,-5.680944480039605082e+01,-5.386912136213098279e+01,-5.511997640556899114e+01,8.518311330710133689e+01,-3.595057035917773192e+01,-3.553768703237059157e+01,-3.509640187881083762e+01
"{'PreContext': '', 'Context': '', 'ExploitCode': '', 'PostContext': '//', 'PreExploit': '""'}",7.318307977219120630e+01,-6.119466491478788583e+01,-6.429696265274425571e+01,-6.046736009266977163e+01,-6.141106236978018273e+01,-6.422859469601058890e+01,-6.168124956504097867e+01,-6.419367318487024932e+01,-5.694755117387689580e+01,-6.142913573258800852e+01,-3.461300645390504371e+01,-3.885457064515652803e+01,7.893804461527852823e+01,-3.339605908820800551e+01,-3.199737900186424966e+01,7.055367803678370819e+01,7.987090210367806264e+01,-3.517634169300695390e+01,-4.133450451527377822e+01,-4.094283947432250415e+01,7.094494603736526983e+01,-4.090153581637338220e+01,-3.615185409941302197e+01,-4.428450759655061120e+01
